group,name,Income,2024 score,2016,2017,2018,2019,2020,2021,2022,2023,2024,Since 2016
Europe & Central Asia,Cyprus,High,85.05708333333334,66.51458333333335,66.81416666666668,79.88416666666667,79.61791666666667,76.79166666666667,86.56708333333334,85.73208333333334,88.00208333333333,85.05708333333334,18.54249999999999
Europe & Central Asia,Netherlands,High,85.13291666666667,74.14416666666668,76.21625,84.21958333333333,84.26583333333333,84.91708333333334,89.35875,88.16000000000001,89.98250000000002,85.13291666666667,10.988749999999996
Europe & Central Asia,Moldova,Upper middle,85.67416666666668,72.2125,70.23791666666668,76.62125,80.3225,82.26125,85.33416666666668,84.07916666666667,86.07166666666669,85.67416666666668,13.461666666666673
Europe & Central Asia,Luxembourg,High,85.81791666666668,68.74416666666667,71.01333333333332,78.86374999999998,78.67124999999999,80.57500000000002,85.58666666666667,88.08333333333334,88.94083333333333,85.81791666666668,17.073750000000004
Europe & Central Asia,Greece,High,86.58416666666669,82.54916666666668,83.86875,84.44708333333332,85.36083333333333,85.95208333333333,89.91375,88.74791666666665,90.57541666666668,86.58416666666669,4.035000000000011
Europe & Central Asia,Czechia,High,87.01,80.00250000000001,80.47125000000001,86.88583333333335,86.73083333333334,87.89208333333333,92.01125000000002,89.61625,91.04125,87.01,7.007499999999993
Europe & Central Asia,North Macedonia,Upper middle,87.17291666666667,62.607083333333335,66.03625000000001,70.80875,72.69875000000002,77.72208333333333,83.68833333333335,82.54750000000001,84.95875000000001,87.17291666666667,24.56583333333333
Europe & Central Asia,Belgium,High,87.25875,74.9525,75.58208333333334,82.18750000000001,82.80499999999999,82.28833333333334,87.97125000000001,88.36666666666666,90.16291666666667,87.25875,12.306250000000006
Europe & Central Asia,Georgia,Upper middle,87.71708333333335,77.045,80.25,78.78291666666667,81.73041666666667,86.49625,90.02916666666668,89.56625,89.26750000000001,87.71708333333335,10.672083333333347
Europe & Central Asia,Hungary,High,87.87166666666667,83.75166666666667,84.53666666666666,84.63666666666667,84.83416666666668,86.09374999999999,89.93041666666667,86.8725,90.22125,87.87166666666667,4.1200000000000045
Europe & Central Asia,Latvia,High,88.08125000000001,83.88208333333334,84.33958333333334,83.66916666666668,83.38916666666667,84.06916666666666,87.97958333333334,89.05083333333334,91.42708333333334,88.08125000000001,4.19916666666667
Europe & Central Asia,Ireland,High,88.31791666666668,83.93041666666667,85.64958333333334,86.2975,87.3775,88.70458333333333,92.815,89.76125000000002,91.41625,88.31791666666668,4.387500000000003
Europe & Central Asia,France,High,88.36958333333335,84.88041666666666,86.52666666666669,86.49208333333334,86.23333333333333,87.54666666666667,90.78083333333332,90.83958333333332,92.82958333333332,88.36958333333335,3.4891666666666907
Europe & Central Asia,United Kingdom,High,88.3775,82.05666666666667,83.17166666666667,83.18958333333335,83.03833333333334,83.55000000000001,87.36166666666668,86.64750000000002,88.9025,88.3775,6.320833333333326
Europe & Central Asia,Switzerland,High,88.7125,84.39125,85.25666666666667,86.25916666666667,86.18166666666667,87.42000000000002,90.38666666666668,89.04125,90.2925,88.7125,4.321250000000006
